sample_id,day,pair_id,net,condition,stimulus,playback_species,experiment,playback_code,monkey_present,time,recording_length_s,performance_measure,species_richness_total,species_richness_i,species_richness_c,species_richness_f,species_richness_g,species_richness_n,species_richness_o,Apaloderma_narina,Glaucidium_tephronotum,Chlorocichla_laetissima,Buccanodon_duchaillui,Gymnobucco_bonapartei,Pogoniulus_bilineatus,Bycanistes_subcylindricus,Corythaeola_cristata,Ceuthmochares_aereus,Oriolus_brachyrynchus,Pogoniulus_subsulphureus,Cuculus_solitarius,Halcyon_malimbica,Alethe_castanea,Apalis_rufogularis,Bathmocercus_rufus,Camaroptera_brachyura,Cercococcyx_mechowi,Chrysococcyx_cupreus,Cossypha_cyanocampter,Dyaphorophyia_castanea,Fraseria_griseigularis,Illadopsis_albipectus,Illadopsis_fulvescens,Illadopsis_rufipennis,Laniarius_luehderi,Stizorhina_fraseri,Sylvietta_virens,Terpsiphone_rufiventer,Cyanomitra_cyanolaema,Cyanomitra_olivacea,Baeopogon_indicator,Bleda_syndactyla,Camaroptera_chloronota,Eurillas_curvirostris,Eurillas_latirostris,Eurillas_virens,Nicator_chloris,Sarothrura_pulchra,Sheppardia_polioptera,Tricholaema_hirsuta,Turtur_tympanistria
18_08B_CON3,18_08,18_6,D,control,CON3,GM,primate,SIL,0,11:05,300,P/A,4,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18_08B_RC,18_08,18_7,D,post_playback,RC,RC,primate,NRC_2,0,11:40,300,P/A,4,3,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19_08A_GM,19_08,19_1,E,post_playback,GM,GM,primate,NGM_4,0,8:55,300,P/A,6,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
19_08A_CON1,19_08,19_2,E,control,CON1,RC,primate,SIL,BC,9:30,300,P/A,6,3,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
19_08A_RC,19_08,19_3,E,post_playback,RC,RC,primate,NRC_4,0,10:05,300,P/A,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19_08A_CON2,19_08,19_4,E,control,CON2,GM,primate,SIL,0,10:40,300,P/A,4,1,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
19_08A_RCO,19_08,19_5,E,post_playback,RCO,RCO,positive_control,RCO_2,0,11:15,300,P/A,3,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19_08B_CON1,19_08,19_1,F,control,CON1,GM,primate,SIL,0,8:55,300,P/A,7,4,0,2,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
19_08B_RC,19_08,19_2,F,post_playback,RC,RC,primate,NRC_3,0,9:30,300,P/A,5,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
19_08B_CON2,19_08,19_3,F,control,CON2,RC,primate,SIL,0,10:05,300,P/A,5,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
19_08B_GM,19_08,19_4,F,post_playback,GM,GM,primate,NGM_2,0,10:40,300,P/A,9,5,0,3,0,0,3,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
19_08B_CON3,19_08,19_5,F,control,CON3,RCO,positive_control,SIL,0,11:15,300,P/A,7,3,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
20_08A_CON1,20_08,20_1,G,control,CON1,RC,primate,SIL,0,7:35,300,P/A,8,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
20_08A_GM,20_08,20_2,G,post_playback,GM,GM,primate,NGM_3,0,8:10,300,P/A,8,5,0,4,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20_08A_CON2,20_08,20_3,G,control,CON2,RCO,positive_control,SIL,0,8:45,300,P/A,7,2,0,3,0,0,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
20_08A_BC,20_08,20_4,G,post_playback,BC,BC,primate,NBC_1,0,9:20,300,P/A,6,6,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_08A_CON3,20_08,20_5,G,control,CON3,BC,primate,SIL,0,9:55,300,P/A,6,5,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20_08A_RCO,20_08,20_6,G,post_playback,RCO,RCO,positive_control,RCO_4,0,10:30,300,P/A,5,4,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_08B_RC,20_08,20_1,H,post_playback,RC,RC,primate,NRC_5,RTM,7:35,300,P/A,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20_08B_CON1,20_08,20_2,H,control,CON1,GM,primate,SIL,0,8:10,300,P/A,4,3,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_08B_RCO,20_08,20_3,H,post_playback,RCO,RCO,positive_control,RCO_3,0,8:45,300,P/A,3,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_08B_CON2,20_08,20_4,H,control,CON2,BC,primate,SIL,BC,9:20,300,P/A,5,4,1,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20_08B_BC,20_08,20_5,H,post_playback,BC,BC,primate,NBC_3,BC,9:55,300,P/A,4,2,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20_08B_CON3,20_08,20_6,H,control,CON3,RCO,positive_control,SIL,0,10:30,300,P/A,4,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
